Response ID,"We plan to organize talks on three possible locations:- the Saint-Eloi campus (usual place, room 109, Building 9)- the Saint-Priest campus (most likely building 5)- the Maison de la télédétection (Maison de la Télédétection, 500 rue Jean-François Breton, 34093 Montpellier)Can you give a score between 1 and 5 to all locations, where 1 means ""I will never come"" and 5 means ""I will always come""? [Saint-Eloi campus]","We plan to organize talks on three possible locations:- the Saint-Eloi campus (usual place, room 109, Building 9)- the Saint-Priest campus (most likely building 5)- the Maison de la télédétection (Maison de la Télédétection, 500 rue Jean-François Breton, 34093 Montpellier)Can you give a score between 1 and 5 to all locations, where 1 means ""I will never come"" and 5 means ""I will always come""? [Saint-Priest campus]","We plan to organize talks on three possible locations:- the Saint-Eloi campus (usual place, room 109, Building 9)- the Saint-Priest campus (most likely building 5)- the Maison de la télédétection (Maison de la Télédétection, 500 rue Jean-François Breton, 34093 Montpellier)Can you give a score between 1 and 5 to all locations, where 1 means ""I will never come"" and 5 means ""I will always come""? [Maison de la télédétection]"
1,5,4,2
2,2,3,5
3,,,
4,,,
5,4,2,2
6,3,4,2
7,4,5,3
8,4,5,3
9,5,4,3
10,,,
11,4,4,4
12,3,5,1
13,3,2,5
14,3,2,3
15,,,
16,,,
17,1,1,1
18,1,3,4
19,4,3,2
20,4,2,2
21,3,4,2
22,4,2,2
23,4,4,2
24,4,5,2
25,4,2,2
26,4,4,2
27,4,4,2
28,3,4,2
29,,,
